,,,,,
,,,,,
Method,CUDPBlast,,,,
MSS,1500,,,,
SendRate(Mb/s),RTT(ms),CWnd,PktSndPeriod(us),RecvACK,RecvNAK
12.6619,46.343,83333,0,63,6
13.2565,43.267,83333,0,76,10
15.5818,49.988,83333,0,67,15
8.95299,57.349,83333,0,26,8
16.9366,94.73,83333,0,57,4
13.3652,46.505,83333,0,62,20
13.4019,69.057,83333,0,64,19
13.3976,45.133,83333,0,74,24
13.4566,42.308,83333,0,72,7
12.9272,44.386,83333,0,73,19
12.8765,46.338,83333,0,75,3
13.1716,46.296,83333,0,76,2
13.3824,143.121,83333,0,67,16
13.315,44.635,83333,0,72,16
12.4529,42.253,83333,0,76,4
12.4652,45.798,83333,0,76,11
13.1323,43.992,83333,0,75,10
13.2727,42.394,83333,0,82,15
13.3846,44.803,83333,0,77,6
12.7253,42.399,83333,0,65,24
13.0031,42.946,83333,0,73,2
13.3264,43.718,83333,0,78,7
13.2227,43.694,83333,0,77,4
13.3844,45.117,83333,0,70,6
13.2051,46.48,83333,0,72,6
13.1198,45.383,83333,0,65,13
13.3651,42.862,83333,0,74,22
13.3408,43.806,83333,0,74,27
13.4134,41.192,83333,0,70,6
13.429,43.775,83333,0,78,2
12.8634,43.212,83333,0,63,8
13.3116,46.406,83333,0,76,4
12.8136,40.968,83333,0,74,7
13.2518,44.979,83333,0,70,14
13.3388,46.335,83333,0,76,9
12.9564,43.155,83333,0,79,2
13.3991,44.668,83333,0,81,10
13.2187,44.66,83333,0,77,9
13.2822,42.391,83333,0,76,13
13.3176,44.2,83333,0,83,57
12.8717,46.643,83333,0,75,5
13.0417,42.841,83333,0,68,9
13.4062,40.662,83333,0,74,17
13.3377,41.785,83333,0,69,17
13.315,40.131,83333,0,79,2
12.9571,41.029,83333,0,67,10
13.2392,40.89,83333,0,69,7
7.90403,41.043,83333,0,30,5
13.1326,39.183,83333,0,78,14
13.3663,43.335,83333,0,71,25
12.722,39.136,83333,0,75,6
13.4099,38.828,83333,0,75,5
13.4386,38.487,83333,0,71,27
8.28287,40.099,83333,0,28,4
